"day","open","high","low","close","volume","rv","return","high_low_range","lag_rv","lag_return","tr","atr14","ma7","ma14","ma30","rsi14","roc9","mean_rv_5d","sum_past_returns_3","diff_past_returns_3","weekend","rv_week","rv_month","fear_greed","vix","sp500","nasdaq","gold","google_trends","ma_50","ma_200","perc_diff","regime"
"2022-01-30",0.203,0.2066,0.1926,0.1945,1195716936,0.0298785336878244,NA,0.014,0.0347249683351871,0.032050815522453,0.014,0.0177982965610599,0.195814285714286,0.210878571428571,0.241946666666667,32.6782187601624,-0.0447423205559587,0.0406452037037329,0.0160666840396471,-0.0272432064087275,1,0.0406452037037329,0.0493150595159798,29,27.6599998474121,4431.85009765625,13770.5703125,1784.90002441406,78,NA,NA,NA,"Sideways"
"2022-01-31",0.1945,0.2004,0.1895,0.1987,1628318568,0.0359164844454705,0.0213639864992698,0.0109,0.0298785336878244,-0.042281083773268,0.0109,0.0173055610924128,0.196228571428571,0.20695,0.239413333333333,35.3708504899054,0.043719999446481,0.038190417139509,0.011133718248455,-0.0049329657911921,0,0.038190417139509,0.0492075679248421,20,24.8299999237061,4515.5498046875,14239.8798828125,1795,78,NA,NA,NA,"Sideways"
"2022-02-01",0.1987,0.2062,0.1985,0.2041,1360926984,0.0319844367061244,0.0268139202580282,0.0076999999999999,0.0359164844454705,0.02136398649927,0.0076999999999999,0.0166194495858119,0.197485714285714,0.203271428571429,0.236513333333333,38.7621818246953,0.0522994994028489,0.0341664143118257,0.0058968229840299,-0.005236895264425,0,0.0341664143118257,0.0482081334165689,26,21.9599990844727,4546.5400390625,14346,1800.30004882812,78,NA,NA,NA,"Sideways"
"2022-02-02",0.2042,0.206,0.19,0.1931,1702433832,0.0379777064121243,-0.0554018803813303,0.016,0.0319844367061244,0.026813920258028,0.016,0.0165752031868253,0.197314285714286,0.199357142857143,0.233293333333333,34.760757379711,-0.0138855406619414,0.0340964259173461,-0.0072239736240323,-0.0131207966080623,0,0.0340964259173461,0.0484489474291534,28,22.0900001525879,4589.3798828125,14417.5498046875,1809.19995117188,78,NA,NA,NA,"Sideways"
"2022-02-03",0.193,0.1949,0.1885,0.1928,1310900976,0.038404000217795,-0.00155480725802359,0.0063999999999999,0.0379777064121243,-0.0554018803813304,0.0063999999999999,0.0158484029591949,0.197514285714286,0.196192857142857,0.23032,34.6556836544056,-0.0128834557061879,0.0348322322938677,-0.0301427673813258,-0.0229187937572935,0,0.0348322322938677,0.0481416981601994,20,24.3500003814697,4477.43994140625,13878.8203125,1803,78,NA,NA,NA,"Sideways"
"2022-02-04",0.1927,0.2073,0.1924,0.207,1812673752,0.0376067455391996,0.0710654110889237,0.0149,0.038404000217795,-0.0015548072580234,0.0149,0.015780659890681,0.199014285714286,0.19645,0.228353333333333,43.3799152818715,0.0633154368819746,0.0363778746641428,0.01410872344957,0.0442514908308958,0,0.0363778746641428,0.0476593210882479,20,23.2199993133545,4500.52978515625,14098.009765625,1806.59997558594,78,NA,NA,NA,"Sideways"
"2022-02-05",0.207,0.2165,0.2069,0.2134,1824897150,0.0308183482518188,0.030449545602284,0.0096,0.0376067455391996,0.0710654110889238,0.0096,0.0153391841842038,0.200514285714286,0.198107142857143,0.22652,46.8257694679191,0.108802859848799,0.0353582474254124,0.0999601494331843,0.0858514259836144,1,0.0353582474254124,0.047015075541415,33,23.2199993133545,4500.52978515625,14098.009765625,1806.59997558594,78,NA,NA,NA,"Sideways"
"2022-02-06",0.2134,0.2227,0.2126,0.2193,1282196016,0.0402521855720495,0.0272723165561894,0.0101,0.0308183482518188,0.030449545602284,0.0101,0.0149649567424749,0.204057142857143,0.199935714285714,0.225303333333333,49.8555158145195,0.109778224114526,0.0370117971985974,0.128787273247397,0.0288271238142129,1,0.0370117971985974,0.0467980197222423,37,23.2199993133545,4500.52978515625,14098.009765625,1806.59997558594,75,NA,NA,NA,"Sideways"
"2022-02-07",0.2193,0.2419,0.2188,0.2396,2996146968,0.0541353300073896,0.0885302108174519,0.0231,0.0402521855720495,0.0272723165561894,0.0231,0.0155460312608696,0.2099,0.203064285714286,0.224683333333333,58.5966742756619,0.166257619409525,0.0402433219176505,0.146252072975925,0.0174647997285281,0,0.0402433219176505,0.0482205867617267,45,22.8600006103516,4483.8701171875,14015.669921875,1820.59997558594,75,NA,NA,NA,"Sideways"
"2022-02-08",0.2395,0.2571,0.2326,0.2388,4217045112,0.068764876725285,-0.00334448472284721,0.0245,0.0541353300073896,0.0885302108174519,0.0245,0.0161856004565218,0.214857142857143,0.206171428571429,0.223903333333333,58.1663495836926,0.205194218459946,0.0463154972191485,0.112458042650794,-0.0337940303251313,0,0.0463154972191485,0.0503044393890993,48,21.4400005340576,4521.5400390625,14194.4501953125,1826.59997558594,75,NA,NA,NA,"Sideways"
