"day","open","high","low","close","volume","rv","return","high_low_range","lag_rv","lag_return","tr","atr14","ma7","ma14","ma30","rsi14","roc9","mean_rv_5d","sum_past_returns_3","diff_past_returns_3","weekend","rv_week","rv_month","fear_greed","vix","sp500","nasdaq","gold","google_trends","ma_50","ma_200","perc_diff","regime"
"2022-01-30",2.166e-05,2.22e-05,2.083e-05,2.105e-05,99882677954232,0.0342396140926968,NA,1.37e-06,0.050521275787461,0.027617013756747,1.37e-06,2.55828335730672e-06,2.11642857142857e-05,2.31321428571429e-05,2.70996666666667e-05,30.2222364617087,-0.0608202153736475,0.05285428516104,-0.0118065125869889,-0.041323764445225,1,0.05285428516104,0.0658622291150371,29,27.6599998474121,4431.85009765625,13770.5703125,1784.90002441406,78,NA,NA,NA,"Sideways"
"2022-01-31",2.104e-05,2.158e-05,2.005e-05,2.138e-05,106714722149616,0.0385106022984212,0.015555345468508,1.53e-06,0.0342396140926968,-0.0285666814444541,1.53e-06,2.48483454607052e-06,2.122e-05,2.26078571428571e-05,2.66783333333333e-05,31.883869450021,0.0662237570012572,0.0444170378508849,0.0146056777808015,0.0264121903677904,0,0.0444170378508849,0.0659202687556626,20,24.8299999237061,4515.5498046875,14239.8798828125,1795,78,NA,NA,NA,"Sideways"
"2022-02-01",2.138e-05,2.2e-05,2.113e-05,2.174e-05,101138002260768,0.0282870013173781,0.0166979760961645,8.7e-07,0.0385106022984212,0.0155553454685087,8.7e-07,2.3694892213512e-06,2.13185714285714e-05,2.21385714285714e-05,2.62696666666667e-05,33.7376492407286,0.0009203866273299,0.0380468412960481,0.0036866401202188,-0.0109190376605827,0,0.0380468412960481,0.0648659481473042,26,21.9599990844727,4546.5400390625,14346,1800.30004882812,78,NA,NA,NA,"Sideways"
"2022-02-02",2.175e-05,2.189e-05,2.028e-05,2.067e-05,108303283539912,0.0448074699539882,-0.0504705079993872,1.61e-06,0.0282870013173781,0.0166979760961643,1.61e-06,2.31523999125469e-06,2.12671428571429e-05,2.16457142857143e-05,2.58583333333333e-05,31.034220217317,-0.0153627601388653,0.0392731926899891,-0.0182171864347135,-0.0219038265549324,0,0.0392731926899891,0.0649998328438623,28,22.0900001525879,4589.3798828125,14417.5498046875,1809.19995117188,78,NA,NA,NA,"Sideways"
"2022-02-03",2.067e-05,2.085e-05,2.013e-05,2.059e-05,88601835409248,0.03120011429925,-0.00387785265397866,7.2e-07,0.0448074699539882,-0.0504705079993864,7.2e-07,2.20129427759364e-06,2.11657142857143e-05,2.11878571428571e-05,2.54556666666667e-05,30.8352725563475,-0.0220950390886934,0.0354089603923469,-0.037650384557201,-0.0194331981224875,0,0.0354089603923469,0.0624858525323604,20,24.3500003814697,4477.43994140625,13878.8203125,1803,78,NA,NA,NA,"Sideways"
"2022-02-04",2.059e-05,2.225e-05,2.052e-05,2.194e-05,139558803527184,0.0430680098284737,0.0635059338073862,1.73e-06,0.03120011429925,-0.0038778526539787,1.73e-06,2.16763040062266e-06,2.129e-05,2.11571428571429e-05,2.51716666666667e-05,38.0522001981058,0.0423614651324762,0.0371746395395022,0.0091575731540208,0.0468079577112219,0,0.0371746395395022,0.0612179089489862,20,23.2199993133545,4500.52978515625,14098.009765625,1806.59997558594,78,NA,NA,NA,"Sideways"
"2022-02-05",2.194e-05,2.388e-05,2.186e-05,2.276e-05,215729347031125,0.0592084664346793,0.0366931544110471,2.02e-06,0.0430680098284737,0.0635059338073861,2.02e-06,2.15708537200676e-06,2.14471428571429e-05,2.13535714285714e-05,2.48996666666667e-05,42.0102707355349,0.0662975365427503,0.0413142123667539,0.0963212355644532,0.0871636624104323,1,0.0413142123667539,0.0609408069792793,33,23.2199993133545,4500.52978515625,14098.009765625,1806.59997558594,78,NA,NA,NA,"Sideways"
"2022-02-06",2.277e-05,2.9e-05,2.223e-05,2.715e-05,392218655632632,0.132097078406585,0.176372437121813,6.77e-06,0.0592084664346793,0.0366931544110459,6.77e-06,2.48657927400628e-06,2.23185714285714e-05,2.17414285714286e-05,2.48386666666667e-05,57.6215387086736,0.253526818563847,0.0620762277845952,0.276571525340246,0.180250289775793,1,0.0620762277845952,0.0656229775602664,37,23.2199993133545,4500.52978515625,14098.009765625,1806.59997558594,75,NA,NA,NA,"Sideways"
"2022-02-07",2.715e-05,3.523e-05,2.691e-05,3.27e-05,917277115459968,0.154769281812972,0.185998031523264,8.32e-06,0.132097078406585,0.176372437121814,8.32e-06,2.90325218300583e-06,2.39357142857143e-05,2.25778571428571e-05,2.50003333333333e-05,68.9880908159701,0.411907836330364,0.084068590156392,0.399063623056123,0.122492097715877,0,0.084068590156392,0.0713742927488733,45,22.8600006103516,4483.8701171875,14015.669921875,1820.59997558594,75,NA,NA,NA,"Sideways"
"2022-02-08",3.27e-05,3.51e-05,2.942e-05,3.078e-05,726370169316192,0.104698582366054,-0.0605099494924737,5.68e-06,0.154769281812972,0.185998031523263,5.68e-06,3.10159131279113e-06,2.52271428571429e-05,2.32728571428571e-05,2.50766666666667e-05,62.7206919704946,0.379964568282341,0.0987682837697528,0.301860519152603,-0.0972031039035204,0,0.0987682837697528,0.0743759874771804,48,21.4400005340576,4521.5400390625,14194.4501953125,1826.59997558594,75,NA,NA,NA,"Sideways"
