"day","open","high","low","close","volume","rv","return","high_low_range","lag_rv","lag_return","tr","atr14","ma7","ma14","ma30","rsi14","roc9","mean_rv_5d","sum_past_returns_3","diff_past_returns_3","weekend","rv_week","rv_month","fear_greed","vix","sp500","nasdaq","gold","google_trends","ma_50","ma_200","perc_diff","regime"
"3/20/2022",2935.6,2964.17,2817.21,2876.8,8935246.598,0.023065466,-0.020233296,146.96,0.019993318,0.001332813,146.96,164.6981243,2786.12,2683.362857,2706.089333,55.87941317,0.112609256,0.030006047,0.020186391,-0.046241546,1,0.030006047,0.037731213,31,23.87000084,4463.120117,13893.83984,1928.199951,52,2795.0256,NA,NA,"Sideways"
"3/21/2022",2876.8,2960.57,2829.81,2908.09,10877260.53,0.030385056,0.010817943,130.76,0.023065466,-0.020233296,130.76,162.2739726,2834.308571,2712.210714,2711.589667,57.13082667,0.116885512,0.025775225,-0.00808254,-0.028268931,0,0.025775225,0.035934061,30,23.53000069,4461.180176,13838.45996,1928.599976,52,2801.6738,NA,NA,"Sideways"
"3/22/2022",2908.08,3052.85,2882.63,2999.8,13333005.65,0.034065938,0.031049111,170.22,0.030385056,0.010817943,170.22,162.841546,2888.317143,2743.025714,2723.176333,60.65341889,0.180324752,0.028089413,0.021633758,0.029716298,0,0.028089413,0.034350827,26,22.94000053,4511.609863,14108.82031,1920.699951,52,2808.0698,NA,NA,"Sideways"
"3/23/2022",2999.79,3045.2,2920.65,3004.56,10908028.81,0.033575372,0.001585515,124.55,0.034065938,0.031049111,124.55,160.1064355,2925.121429,2763.588571,2736.047,60.83330974,0.15592567,0.02821703,0.043452569,0.021818811,0,0.02821703,0.033766226,31,23.56999969,4456.240234,13922.59961,1936.599976,52,2812.4,NA,NA,"Sideways"
"3/24/2022",3004.57,3129.11,2992.41,3110.4,14165447.05,0.030628664,0.034620201,136.7,0.033575372,0.001585515,136.7,158.4345473,2966.705714,2799.159286,2752.913667,64.69811435,0.170913116,0.030344099,0.067254827,0.023802258,0,0.030344099,0.032974666,40,21.67000008,4520.160156,14191.83984,1961.599976,52,2821.0268,NA,NA,"Sideways"
"3/25/2022",3110.41,3193.28,3076,3098.92,11763046.71,0.026773021,-0.003697672,117.28,0.030628664,0.034620201,117.28,155.4949368,2990.595714,2836.909286,2768.313667,63.96088624,0.120569739,0.03108561,0.032508044,-0.034746783,0,0.03108561,0.032567943,47,20.80999947,4543.060059,14169.2998,1953.800049,52,2829.8008,NA,NA,"Sideways"
"3/26/2022",3098.93,3153.2,3084.9,3134.28,5503392.268,0.013019282,0.011345819,68.3,0.026773021,-0.003697672,68.3,149.266727,3018.978571,2875.98,2787.249,65.27346905,0.105907308,0.027612455,0.042268348,0.009760304,1,0.027612455,0.031075433,51,20.80999947,4543.060059,14169.2998,1953.800049,52,2833.3702,NA,NA,"Sideways"
"3/27/2022",3134.28,3298,3126.02,3277.18,6726343.291,0.027057205,0.044583814,171.98,0.013019282,0.011345819,171.98,150.8891036,3076.175714,2931.147857,2803.435667,70.02483846,0.111404248,0.026210708,0.052231961,0.009963613,1,0.026210708,0.031357649,49,20.80999947,4543.060059,14169.2998,1953.800049,63,2838.5278,NA,NA,"Sideways"
"3/28/2022",3277.18,3431.15,3261.96,3380.77,12896069.28,0.025207817,0.031120198,169.19,0.027057205,0.044583814,169.19,152.1963105,3143.701429,2989.005,2822.949,72.91761322,0.141191633,0.024537198,0.087049831,0.034817869,0,0.024537198,0.031436065,60,19.62999916,4575.52002,14354.90039,1939.599976,63,2846.3592,NA,NA,"Sideways"
"3/29/2022",3380.77,3481.87,3315.54,3375.4,11349488.7,0.032105166,-0.001589658,166.33,0.025207817,0.031120198,166.33,153.2058598,3197.358571,3042.837857,2847.792667,72.52686847,0.159835271,0.024832498,0.074114353,-0.012935477,0,0.024832498,0.030388031,56,18.89999962,4631.600098,14619.63965,1912,63,2850.8334,NA,NA,"Sideways"
"3/30/2022",3375.4,3446.9,3331.84,3388.05,8882748.425,0.029135542,0.003740699,115.06,0.032105166,-0.001589658,115.06,150.4811555,3252.142857,3088.632143,2864.153,72.89534138,0.152758026,0.025305002,0.033271238,-0.040843115,0,0.025305002,0.030018665,55,19.32999992,4602.450195,14442.26953,1933.5,63,2856.316,NA,NA,"Sideways"
"3/31/2022",3388.05,3444.83,3261.35,3287.23,10697754.63,0.033981965,-0.03020927,183.48,0.029135542,0.003740699,183.48,152.8382158,3277.404286,3122.055,2874.580667,65.37014709,0.091499645,0.029497539,-0.028058229,-0.061329468,0,0.029497539,0.029722649,52,20.55999947,4530.410156,14220.51953,1949.199951,63,2857.0402,NA,NA,"Sideways"
"4/1/2022",3287.23,3481.29,3210.68,3451.29,12970145.3,0.039172964,0.048702809,270.61,0.033981965,-0.03020927,270.61,161.2504861,3327.742857,3159.169286,2890.930333,70.67524117,0.13861694,0.031920691,0.022234238,0.050292468,0,0.031920691,0.029995015,50,19.62999916,4545.859863,14261.5,1919.099976,63,2863.7496,NA,NA,"Sideways"
"4/2/2022",3451.29,3532.2,3426.41,3478.03,13589505.67,0.024742368,0.007717967,105.79,0.039172964,0.048702809,105.79,157.2890228,3376.85,3197.914286,2912.398,71.44312669,0.111714706,0.031827601,0.026211507,0.003977269,1,0.031827601,0.029143455,52,19.62999916,4545.859863,14261.5,1919.099976,63,2875.4304,NA,NA,"Sideways"
"4/3/2022",3478.03,3528.06,3412.11,3528.06,7779395.993,0.024679889,0.014282103,115.95,0.024742368,0.007717967,115.95,154.3362355,3412.69,3244.432857,2942.943,72.8743142,0.129694481,0.030342546,0.07070288,0.044491373,1,0.030342546,0.029506652,48,19.62999916,4545.859863,14261.5,1919.099976,55,2887.6796,NA,NA,"Sideways"
"4/4/2022",3528.04,3580.34,3405.97,3508.53,12017122.37,0.027864011,-0.005550998,174.37,0.024679889,0.014282103,174.37,155.7672187,3430.941429,3287.321429,2970.892,71.37061236,0.112797664,0.030088239,0.016449072,-0.054253808,0,0.030088239,0.029305205,52,18.56999969,4582.640137,14532.5498,1929.199951,55,2899.8074,NA,NA,"Sideways"
"4/5/2022",3508.53,3555,3418,3453.52,9326078.417,0.019181874,-0.015803146,137,0.027864011,-0.005550998,137,154.426703,3442.101429,3319.73,2998.373,67.16659349,0.052410704,0.027128221,-0.007072041,-0.023521113,0,0.027128221,0.028991794,53,21.03000069,4525.120117,14204.16992,1922.900024,55,2910.0536,NA,NA,"Sideways"
"4/6/2022",3453.53,3462.04,3171.26,3226.45,17753811.83,0.038206443,-0.068011539,290.78,0.019181874,-0.015803146,290.78,164.1662243,3419.015714,3335.579286,3022.447333,53.22878265,-0.046721033,0.026934917,-0.089365683,-0.082293642,0,0.026934917,0.029082401,48,22.10000038,4481.149902,13888.82031,1918.400024,55,2912.0686,NA,NA,"Sideways"
"4/7/2022",3226.46,3268.98,3143.15,3218.88,11403775.45,0.03019747,-0.002348989,125.83,0.038206443,-0.068011539,125.83,161.4279225,3409.251429,3343.327857,3044.130333,52.83515551,-0.047480363,0.028025937,-0.086163673,0.00320201,0,0.028025937,0.028112323,34,21.54999924,4500.209961,13897.2998,1933.800049,55,2913.7208,NA,NA,"Sideways"
"4/8/2022",3218.88,3314.02,3209.99,3221.96,11385629.72,0.030679064,0.000956397,104.03,0.03019747,-0.002348989,104.03,157.3280709,3376.49,3352.116429,3060.973,52.98748762,-0.050264665,0.029225772,-0.069404131,0.016759543,0,0.029225772,0.028484326,37,21.15999985,4488.279785,13711,1941.599976,55,2920.1726,NA,NA,"Sideways"
