Coin,Mean,Median,High,Low,St_Dev,Skewness,Kurtosis,Observations
BTCUSDT,0.08925826019992691,0.019255842175496002,12.9017202824787,-17.1261016459407,2.775516387774836,-0.17861431216105444,4.541711711351645,26484
ETHUSDT,0.021131174146406702,0.056682951834754004,18.2388711095124,-18.1602907823033,3.463201623016288,-0.0599233157255238,4.229385277204164,26484
XRPUSDT,0.14771499663915771,0,52.136339664194495,-19.4213654650784,4.333270971243628,2.177900956559168,23.542544706851046,26484
DOGEUSDT,0.07912563232768588,-0.013924667571059,42.6569439197575,-24.7540838897267,4.845248752667024,0.7782500571547291,8.954023136449006,26484
SHIBUSDT,-0.006889595365371187,0,45.6878299384534,-24.660070819852002,4.952004064221205,1.5024317042013036,13.061332101678982,26484
XLMUSDT,0.0699412165723577,0,41.7177264036676,-19.8371688431561,4.313070836255233,2.7068305767522767,24.18271338773717,26484
